	x
419	NODE_9151_length_2082_cov_520.903874_g5805_i0
420	NODE_27521_length_1055_cov_35.093874_g16769_i0
421	NODE_23826_length_1205_cov_189.323580_g14542_i0
422	NODE_27605_length_1052_cov_88.510406_g10645_i1
423	NODE_37986_length_696_cov_173.332312_g23867_i1
424	NODE_32076_length_886_cov_75.921708_g19629_i0
425	NODE_30465_length_941_cov_219.105791_g18615_i0
426	NODE_10011_length_2007_cov_77.263747_g6326_i0
427	NODE_15088_length_1642_cov_228.439024_g1746_i2
428	NODE_5947_length_2449_cov_57.329593_g3813_i0
429	NODE_9232_length_2074_cov_377.551452_g5857_i0
430	NODE_24189_length_1188_cov_229.838428_g14769_i0
431	NODE_17596_length_1505_cov_292.718878_g10893_i0
432	NODE_11583_length_1880_cov_65.781165_g7303_i0
433	NODE_22588_length_1260_cov_2500.119145_g8415_i3
434	NODE_34963_length_788_cov_61.577181_g21612_i0
435	NODE_36919_length_728_cov_200.308029_g18179_i3
436	NODE_9000_length_2097_cov_91.496592_g733_i2
437	NODE_31162_length_918_cov_1028.158857_g17123_i2
438	NODE_11380_length_1897_cov_452.269687_g7020_i1
439	NODE_2046_length_3404_cov_49.436775_g1322_i0
440	NODE_3716_length_2860_cov_115.355343_g1367_i1
441	NODE_1342_length_3780_cov_114.620016_g512_i1
442	NODE_2935_length_3079_cov_63.580369_g1308_i3
443	NODE_10975_length_1930_cov_300.047165_g5428_i1
444	NODE_20630_length_1347_cov_86.782975_g11696_i1
445	NODE_13441_length_1750_cov_421.531342_g5734_i1
446	NODE_44471_length_517_cov_22.417722_g29357_i0
447	NODE_8943_length_2101_cov_173.433431_g4892_i1
448	NODE_47521_length_444_cov_581.057357_g32332_i0
449	NODE_20406_length_1359_cov_119.409574_g11544_i1
450	NODE_23398_length_1224_cov_87.375106_g14297_i0
451	NODE_39755_length_644_cov_431.144759_g8735_i2
452	NODE_8764_length_2119_cov_24.106455_g2231_i1
453	NODE_23091_length_1237_cov_291.954774_g1746_i4
454	NODE_25627_length_1129_cov_284.162063_g15643_i0
455	NODE_16321_length_1573_cov_128.397386_g8799_i1
456	NODE_240_length_5577_cov_81.907662_g94_i2
457	NODE_27231_length_1065_cov_204.094912_g14020_i1
