	logFC	logCPM	PValue	FDR
NODE_25221_length_1146_cov_276.533092_g15404_i0	-4.42507606878309	6.79863818113405	1.86192912856265e-27	5.45134979098156e-25
NODE_75396_length_185_cov_2036.119718_g60186_i0	-3.91572187218869	8.45998840131827	1.98844378343285e-27	5.72472965250317e-25
NODE_39673_length_647_cov_4.359272_g25181_i0	4.66243685464784	9.00562034679148	3.74961238878244e-27	1.06181646563652e-24
NODE_19837_length_1387_cov_272.506696_g1151_i1	-4.42516089851316	6.30791814272615	4.05488623671313e-27	1.12974362666101e-24
NODE_34184_length_815_cov_461.388601_g15325_i3	-4.99413541051815	5.8841674888002	4.20086248030196e-27	1.1518364838847e-24
NODE_7018_length_2308_cov_379.790728_g4485_i0	-4.12765086716521	6.96086749503889	4.62329473754884e-27	1.24785614525654e-24
NODE_65119_length_231_cov_3.361702_g49909_i0	4.64812951219252	5.32094009695069	6.44737593402268e-27	1.71341495206627e-24
NODE_17810_length_1493_cov_244.595862_g5766_i2	-4.71408711273393	6.40367453458893	6.83766859458176e-27	1.78960435307281e-24
NODE_1018_length_4013_cov_227.603275_g678_i0	-4.76687809028632	5.72219036660952	8.50644179015486e-27	2.19313844004679e-24
NODE_45761_length_486_cov_15.934537_g30600_i0	4.4901547672807	6.83536701198128	1.32529619774169e-26	3.36664213526322e-24
NODE_36917_length_728_cov_1275.221898_g23057_i0	-3.87151758575965	7.8899959843744	1.84600754985182e-26	4.62143977045513e-24
NODE_29460_length_981_cov_677.765458_g17967_i0	-3.81473567537591	8.50841681990303	1.9280522832431e-26	4.75788216296303e-24
NODE_44480_length_517_cov_6.251055_g29365_i0	4.28234678657495	10.3320539077207	2.37754744850422e-26	5.78447248245942e-24
NODE_12460_length_1818_cov_234.687324_g4248_i1	-4.31500577236943	6.31024186017325	2.65814766601804e-26	6.37733927538828e-24
NODE_7686_length_2232_cov_319.641846_g2260_i6	-4.23909446748777	6.32990940865996	3.12763497475339e-26	7.40092692519042e-24
NODE_44386_length_519_cov_12.363445_g29281_i0	4.33624314960569	8.54701305415939	5.70988726431768e-26	1.33287287302464e-23
NODE_53587_length_337_cov_330.537415_g38377_i0	-4.32159987495288	6.29778458917274	6.30319303804957e-26	1.45175142052358e-23
NODE_739_length_4310_cov_334.348254_g477_i1	-4.1626465651272	6.48822544945397	8.62739838623095e-26	1.96091683847044e-23
NODE_21125_length_1324_cov_9.497268_g12984_i0	4.33838313534705	7.1872540286259	1.22299591336371e-25	2.74364044252529e-23
NODE_22985_length_1242_cov_11.180984_g14060_i0	4.61891788296028	7.3355297136723	1.24247843945959e-25	2.75161186708011e-23
NODE_19733_length_1391_cov_189.058605_g12158_i0	-4.24527577335542	6.19966474303754	1.41675545398794e-25	3.06810476676846e-23
NODE_21240_length_1319_cov_280.028213_g2346_i7	-4.44682496168427	6.07438017858084	1.42091224581149e-25	3.06810476676846e-23
NODE_45344_length_496_cov_2476.869757_g30196_i0	-4.00224035580387	7.20571590543882	2.08804390101232e-25	4.45294695630701e-23
NODE_4160_length_2762_cov_327.159618_g1453_i1	-4.1142110303784	6.38490723312453	3.14769368987967e-25	6.63088546329041e-23
NODE_32368_length_876_cov_155.679472_g19828_i0	-4.65137712950271	5.67323996175096	3.84424773132519e-25	8.00066690492907e-23
NODE_4804_length_2628_cov_25612.705609_g58_i31	4.06923295482432	5.31674253017164	4.73557938320054e-25	9.73838074588169e-23
NODE_35174_length_782_cov_51.595399_g21762_i0	3.83515873085112	8.2577515230925	4.84765003781892e-25	9.85156550038635e-23
NODE_46775_length_461_cov_264.624402_g31598_i0	-4.26529661900435	5.91531856501244	5.211586874824e-25	1.04680176367104e-22
NODE_25270_length_1144_cov_611.584015_g15430_i0	-3.76848457089543	7.42107519000589	7.03875593554808e-25	1.39755712678917e-22
NODE_31149_length_919_cov_13.807078_g19030_i0	3.93543647334575	11.0396240121727	7.48211416485835e-25	1.46870500095185e-22
NODE_18555_length_1453_cov_207.063830_g4379_i1	-4.24413689042396	6.12995563303167	1.12564355113514e-24	2.18476030363015e-22
NODE_31224_length_916_cov_571.404353_g19072_i0	-3.91939872492813	6.61586929342401	1.22090792539655e-24	2.32491718191015e-22
NODE_44611_length_514_cov_6.535032_g29486_i0	4.38223471858291	6.63614401964919	1.22477401617358e-24	2.32491718191015e-22
NODE_26933_length_1077_cov_251.676983_g16412_i0	-4.07830341745531	6.4071134243726	1.29942475308115e-24	2.41357668652943e-22
