	x
361	NODE_17971_length_1485_cov_6.293343_g11120_i0
362	NODE_28114_length_1031_cov_58.905870_g17136_i0
363	NODE_34094_length_818_cov_22.781935_g20991_i0
364	NODE_38027_length_695_cov_85.237730_g23898_i0
365	NODE_22622_length_1259_cov_40.335526_g13853_i0
366	NODE_11224_length_1909_cov_24.305466_g7079_i0
367	NODE_92275_length_149_cov_2.226415_g77065_i0
368	NODE_13343_length_1757_cov_167.331389_g8339_i0
369	NODE_28486_length_1016_cov_53.426516_g17355_i0
370	NODE_44053_length_528_cov_483.344330_g28968_i0
371	NODE_41778_length_587_cov_19.380515_g26927_i0
372	NODE_6360_length_2393_cov_93.448936_g4074_i0
373	NODE_42376_length_571_cov_10.312500_g27437_i0
374	NODE_87718_length_156_cov_1.486726_g72508_i0
375	NODE_3831_length_2837_cov_17.329993_g2474_i0
376	NODE_27037_length_1074_cov_9.715810_g16477_i0
377	NODE_37799_length_702_cov_25.606980_g6453_i1
378	NODE_33980_length_822_cov_13.286264_g20911_i0
379	NODE_24993_length_1156_cov_12.179695_g14501_i1
380	NODE_28708_length_1008_cov_11.932642_g17492_i0
381	NODE_19653_length_1396_cov_14.606061_g12114_i0
382	NODE_32409_length_875_cov_38.028846_g19862_i0
383	NODE_26059_length_1111_cov_83.202247_g5053_i1
384	NODE_43319_length_546_cov_70.347913_g28295_i0
385	NODE_24142_length_1190_cov_82.986051_g4181_i5
386	NODE_29021_length_997_cov_60.298742_g4865_i2
387	NODE_31587_length_903_cov_24.631395_g19318_i0
388	NODE_35648_length_767_cov_9.798343_g22109_i0
389	NODE_22239_length_1275_cov_281.025974_g13655_i0
390	NODE_55234_length_316_cov_29.450549_g40024_i0
391	NODE_18299_length_1466_cov_649.130007_g11176_i1
392	NODE_16388_length_1570_cov_23.208251_g10180_i0
393	NODE_22262_length_1274_cov_303.458976_g13670_i0
394	NODE_31364_length_911_cov_254.751152_g19163_i0
395	NODE_29499_length_980_cov_12.213447_g17989_i0
396	NODE_9884_length_2017_cov_60.639311_g6248_i0
397	NODE_8831_length_2113_cov_84.991787_g4181_i1
398	NODE_54488_length_325_cov_30.078014_g39278_i0
399	NODE_48254_length_429_cov_14.932642_g33056_i0
400	NODE_20596_length_1349_cov_65.678407_g6874_i3
401	NODE_11933_length_1856_cov_24.930502_g4560_i1
402	NODE_44745_length_511_cov_11.807692_g29617_i0
403	NODE_6274_length_2404_cov_20.666243_g4015_i0
404	NODE_51556_length_367_cov_112.287037_g36348_i0
405	NODE_6311_length_2400_cov_8.936784_g4038_i0
406	NODE_87561_length_156_cov_2.141593_g72351_i0
407	NODE_4006_length_2796_cov_12.503451_g2590_i0
408	NODE_34486_length_804_cov_92.204993_g19144_i1
409	NODE_43317_length_546_cov_102.095427_g28293_i0
410	NODE_26245_length_1104_cov_39.477851_g16025_i0
411	NODE_12597_length_1808_cov_20.246459_g7903_i0
412	NODE_31884_length_893_cov_6.369412_g19508_i0
413	NODE_40399_length_627_cov_21.333904_g25765_i0
414	NODE_33770_length_829_cov_93.879135_g20254_i1
415	NODE_3278_length_2974_cov_13.317639_g2107_i0
416	NODE_26217_length_1105_cov_206.169492_g16009_i0
417	NODE_41158_length_605_cov_12.233096_g26392_i0
418	NODE_5011_length_2594_cov_8.222266_g3214_i0
419	NODE_460_length_4813_cov_17.053249_g316_i0
420	NODE_35632_length_767_cov_54.178177_g22099_i0
421	NODE_46290_length_473_cov_16.425581_g31118_i0
422	NODE_20655_length_1346_cov_16.737529_g12702_i0
423	NODE_22525_length_1263_cov_192.025410_g9341_i3
424	NODE_47826_length_438_cov_250.529114_g32634_i0
425	NODE_15207_length_1637_cov_21.404642_g9469_i0
426	NODE_16397_length_1570_cov_6.721676_g10186_i0
427	NODE_21642_length_1303_cov_17.567460_g13282_i0
428	NODE_41783_length_587_cov_9.183824_g26932_i0
429	NODE_42625_length_564_cov_248.437620_g27658_i0
430	NODE_9747_length_2029_cov_48.751259_g5297_i1
431	NODE_38958_length_668_cov_11.811200_g24600_i0
432	NODE_47441_length_446_cov_12.401985_g32252_i0
433	NODE_35547_length_770_cov_188.808803_g13272_i3
434	NODE_24298_length_1184_cov_24.877301_g13167_i1
435	NODE_26273_length_1103_cov_17.354717_g16044_i0
436	NODE_26404_length_1098_cov_44.883412_g6896_i1
437	NODE_6753_length_2343_cov_124.459130_g4320_i0
438	NODE_22002_length_1287_cov_38.285370_g13508_i0
439	NODE_43195_length_549_cov_86.883399_g28179_i0
440	NODE_6957_length_2316_cov_55.677519_g4445_i0
441	NODE_21475_length_1310_cov_14.256511_g13179_i0
442	NODE_18300_length_1466_cov_180.676037_g11301_i0
443	NODE_32914_length_858_cov_36.804908_g19862_i1
444	NODE_14820_length_1659_cov_20.535272_g9245_i0
445	NODE_23749_length_1209_cov_206.060892_g11913_i1
446	NODE_9527_length_2048_cov_44.918703_g5461_i1
447	NODE_8010_length_2198_cov_22.432483_g5090_i0
448	NODE_6748_length_2344_cov_20.438070_g4315_i0
449	NODE_29911_length_962_cov_120.847661_g18252_i0
450	NODE_53228_length_342_cov_7.193980_g38018_i0
451	NODE_37332_length_717_cov_9.001484_g21192_i1
452	NODE_5476_length_2517_cov_30.909863_g3515_i0
453	NODE_24069_length_1193_cov_22.094783_g14699_i0
454	NODE_34372_length_808_cov_31.894118_g18489_i1
455	NODE_32429_length_874_cov_69.897714_g18297_i2
456	NODE_46782_length_461_cov_12.222488_g31605_i0
457	NODE_6930_length_2319_cov_22.043937_g4109_i2
458	NODE_9864_length_2019_cov_101.745445_g6197_i1
459	NODE_39541_length_651_cov_24.906250_g25075_i0
460	NODE_34641_length_799_cov_173.666667_g21379_i0
461	NODE_12673_length_1802_cov_27.644116_g7949_i0
462	NODE_24805_length_1163_cov_190.128571_g15155_i1
463	NODE_73621_length_191_cov_179.986486_g58411_i0
464	NODE_87493_length_156_cov_3.415929_g72283_i0
465	NODE_22240_length_1275_cov_210.560065_g13656_i0
466	NODE_20737_length_1342_cov_131.268668_g12749_i0
467	NODE_22965_length_1243_cov_7.635000_g14049_i0
468	NODE_30793_length_931_cov_27.102477_g18815_i0
469	NODE_20439_length_1358_cov_7.085932_g12574_i0
470	NODE_19248_length_1417_cov_15.796215_g11876_i0
471	NODE_42478_length_568_cov_213.708571_g27532_i0
472	NODE_31870_length_893_cov_35.623529_g19499_i0
473	NODE_16047_length_1590_cov_5.458306_g9966_i0
474	NODE_20497_length_1354_cov_103.075515_g6197_i2
475	NODE_26395_length_1098_cov_158.187678_g15121_i3
476	NODE_24708_length_1168_cov_18.637333_g15082_i0
477	NODE_13758_length_1729_cov_15.033215_g8588_i0
478	NODE_19364_length_1410_cov_227.556693_g11943_i0
479	NODE_2302_length_3298_cov_20.307834_g1482_i0
480	NODE_26594_length_1091_cov_27.083015_g16220_i0
481	NODE_6545_length_2371_cov_44.599227_g3442_i1
482	NODE_30013_length_958_cov_932.681967_g18322_i0
483	NODE_44024_length_529_cov_11.502058_g28941_i0
484	NODE_10562_length_1962_cov_25.755081_g2428_i1
485	NODE_33665_length_832_cov_149.451204_g20698_i0
486	NODE_32264_length_879_cov_2442.815789_g19753_i0
487	NODE_9118_length_2087_cov_32.917319_g5785_i0
488	NODE_58809_length_278_cov_337.089362_g43599_i0
489	NODE_12381_length_1825_cov_7.515152_g7765_i0
490	NODE_36759_length_734_cov_13.853835_g22937_i0
